,nacac_name,link
0,Antioch College,http://www.antiochcollege.edu/news/archive/student-activism-and-admission
1,Arcadia University,https://www.arcadia.edu/admissions/admitted-students
2,Assumption College,https://www.assumption.edu/ACStatement
3,Augustana College,http://www.augustana.edu/about-us/news/college-will-not-penalize-applicants-peaceful-protests
4,Becker College,https://www.becker.edu/admissions/high-school-applicants
5,Bishop's University,http://www.ubishops.ca
6,Bloomfield College,https://twitter.com/bloomfieldedu/status/968884285368426497
7,Butler University,https://stories.butler.edu/content/message-butler-university-office-admission?_ga=2.247985543.1056118216.1519687357-1681659497.1503447046
8,CalArts (California Institute of the Arts),https://calarts.edu/
9,Cedar Crest College,https://twitter.com/AdmissionsCCC/status/968502526252285954
10,Centre College,https://www.instagram.com/p/BfvzpF8nbDG/?taken-by=admissioncentre
11,City University of New York,http://www2.cuny.edu/admissions/undergraduate/
12,Coe College,
13,Colorado School of Mines,https://twitter.com/MinesAdmissions/status/968270367314735105
14,Columbia College Chicago,https://twitter.com/ColumAdmit/status/968201692717223936
15,Concordia University Texas,http://www.concordia.edu/blog/statement-from-admissions.html
16,Delaware Valley University,http://www.delval.edu/admission/undergraduate-admission/accepted-students
17,DePauw University,
18,Drexel University,http://johnfryblog.drexel.edu/
19,James Madison University,http://www.jmu.edu
20,Linfield College,https://www.linfield.edu/enrollment/statement-regarding-admission-decisions-and-student-suspensions.html
21,MacMurray College,https://www.facebook.com/macadmissions/
22,Manhattan College,
23,Marietta College,http://www.marietta.edu/article/statement-admission-and-peaceful-protest
24,Marymount University,https://www.marymount.edu/Admissions/First-Year-Students/Admission-Requirements
25,Mount Mercy University,http://www.mtmercy.edu
26,Naropa University,http://naropa.edu
27,North Carolina A&T State University,http://www.ncat.edu/news/2018/02/protest-statement.html
28,Northern Illinois University,http://www.admissions.niu.edu/admissions/first-year/deadlines-requirements.shtml
29,Northland College,http://www.northland.edu
30,Nova Southeastern University,http://www.nova.edu
31,Pacific Lutheran Univerisity,https://twitter.com/plu_admission/status/967560558147850240?s=20
32,Purdue University - West Lafayette,https://www.facebook.com/PurdueAdmissions/posts/1990594877636993
33,Roanoke College,https://www.roanoke.edu/
34,Saint Anselm College,https://www.facebook.com/SaintAnselm/
35,"Saint Mary's College, Indiana",https://www.facebook.com/saintmaryscollegeadmission/posts/1861851337182890
36,SUNY Delhi,
37,Susquehanna University,
38,Texas Christian University,
39,The College of Saint Rose,https://www.strose.edu/2018/02/25/admissions-decisions-not-impacted-peaceful-protest-participation/
40,The Evergreen State College,http://www.evergreen.edu/admissions
41,University of Central Florida,http://www.sdes.ucf.edu/news/statement-from-ucf-regarding-freedom-of-expression/
42,University of Illinois at Chicago,https://twitter.com/apply2uic/status/968930350717075456
43,University of Michigan-Ann Arbor,https://admissions.umich.edu/apply/admitted-students/freshmen-next-steps
44,University of Mount Union,http://www.mountunion.edu/admission
45,University of San Diego,http://www.sandiego.edu/admissions/undergraduate/admitted-students/statement-on-peaceful-protest1.php
46,University of St. Thomas,https://twitter.com/AdmissionsAtUST/status/968578917664788480
47,"University of Tennessee, Knoxville",https://admissions.utk.edu/
48,Urbana University,http://www.urbana.edu
49,Warren Wilson College,http://www.warren-wilson.edu
50,Wayne State University,https://wayne.edu/admissions
51,Wells College,https://www.wells.edu/admissions
52,Wentworth Institue of Technology,https://wit.edu/message-wentworth-admissions
53,Whitworth University,http://www.whitworth.edu/cms/administration/admissions/statement-on-activism/
